Date,Close bitcoin,Criptos Close ethereum,Criptos Close dash,Criptos Close litecoin,Criptos Close monero,Criptos Close ethereum-classic,Criptos Close iota,Criptos Close neo,Criptos Close eos,Criptos Close vechain,Criptos Close qtum,Criptos Close omisego,Criptos Close binance-coin,Criptos Close lisk,Criptos Close zcash
2015-01-01,314.25,,,,,,,,,,,,,,
2015-01-02,315.03,,,,,,,,,,,,,,
2015-01-03,281.08,,,,,,,,,,,,,,
2015-01-04,264.2,,,,,,,,,,,,,,
2015-01-05,274.47,,,,,,,,,,,,,,
2015-01-06,286.19,,,,,,,,,,,,,,
2015-01-07,294.34,,,,,,,,,,,,,,
2015-01-08,283.35,,,,,,,,,,,,,,
2015-01-09,290.41,,,,,,,,,,,,,,
2015-01-10,274.8,,,,,,,,,,,,,,
2015-01-11,265.66,,,,,,,,,,,,,,
2015-01-12,267.8,,,,,,,,,,,,,,
2015-01-13,225.86,,,,,,,,,,,,,,
2015-01-14,178.1,,,,,,,,,,,,,,
2015-01-15,209.84,,,,,,,,,,,,,,
2015-01-16,208.1,,,,,,,,,,,,,,
2015-01-17,199.26,,,,,,,,,,,,,,
2015-01-18,210.34,,,,,,,,,,,,,,
2015-01-19,214.86,,,,,,,,,,,,,,
2015-01-20,211.32,,,,,,,,,,,,,,
2015-01-21,226.9,,,,,,,,,,,,,,
2015-01-22,233.41,,,,,,,,,,,,,,
2015-01-23,232.88,,,,,,,,,,,,,,
2015-01-24,247.85,,,,,,,,,,,,,,
2015-01-25,253.72,,,,,,,,,,,,,,
2015-01-26,273.47,,,,,,,,,,,,,,
2015-01-27,263.48,,,,,,,,,,,,,,
2015-01-28,233.91,,,,,,,,,,,,,,
2015-01-29,233.51,,,,,,,,,,,,,,
2015-01-30,226.43,,,,,,,,,,,,,,
2015-01-31,217.46,,,,,,,,,,,,,,
2015-02-01,226.97,,,,,,,,,,,,,,
2015-02-02,238.23,,,,,,,,,,,,,,
2015-02-03,227.27,,,,,,,,,,,,,,
2015-02-04,226.85,,,,,,,,,,,,,,
2015-02-05,217.11,,,,,,,,,,,,,,
2015-02-06,222.27,,,,,,,,,,,,,,
2015-02-07,227.75,,,,,,,,,,,,,,
2015-02-08,223.41,,,,,,,,,,,,,,
2015-02-09,220.11,,,,,,,,,,,,,,
2015-02-10,219.84,,,,,,,,,,,,,,
2015-02-11,219.18,,,,,,,,,,,,,,
2015-02-12,221.76,,,,,,,,,,,,,,
2015-02-13,235.43,,,,,,,,,,,,,,
2015-02-14,257.32,,,,,,,,,,,,,,
2015-02-15,234.82,,,,,,,,,,,,,,
2015-02-16,233.84,,,,,,,,,,,,,,
2015-02-17,243.61,,,,,,,,,,,,,,
2015-02-18,236.33,,,,,,,,,,,,,,
2015-02-19,240.28,,,,,,,,,,,,,,
2015-02-20,243.78,,,,,,,,,,,,,,
2015-02-21,244.53,,,,,,,,,,,,,,
2015-02-22,235.98,,,,,,,,,,,,,,
2015-02-23,238.89,,,,,,,,,,,,,,
2015-02-24,238.74,,,,,,,,,,,,,,
2015-02-25,237.47,,,,,,,,,,,,,,
2015-02-26,236.43,,,,,,,,,,,,,,
2015-02-27,253.83,,,,,,,,,,,,,,
2015-02-28,254.26,,,,,,,,,,,,,,
2015-03-01,260.2,,,,,,,,,,,,,,
2015-03-02,275.67,,,,,,,,,,,,,,
2015-03-03,281.7,,,,,,,,,,,,,,
2015-03-04,273.09,,,,,,,,,,,,,,
2015-03-05,276.18,,,,,,,,,,,,,,
2015-03-06,272.72,,,,,,,,,,,,,,
2015-03-07,276.26,,,,,,,,,,,,,,
2015-03-08,274.35,,,,,,,,,,,,,,
2015-03-09,289.61,,,,,,,,,,,,,,
2015-03-10,291.76,,,,,,,,,,,,,,
2015-03-11,296.38,,,,,,,,,,,,,,
2015-03-12,294.35,,,,,,,,,,,,,,
2015-03-13,285.34,,,,,,,,,,,,,,
2015-03-14,281.89,,,,,,,,,,,,,,
2015-03-15,286.39,,,,,,,,,,,,,,
2015-03-16,290.59,,,,,,,,,,,,,,
2015-03-17,285.51,,,,,,,,,,,,,,
2015-03-18,256.3,,,,,,,,,,,,,,
2015-03-19,260.93,,,,,,,,,,,,,,
2015-03-20,261.75,,,,,,,,,,,,,,
2015-03-21,260.02,,,,,,,,,,,,,,
2015-03-22,267.96,,,,,,,,,,,,,,
2015-03-23,266.74,,,,,,,,,,,,,,
2015-03-24,245.6,,,,,,,,,,,,,,
2015-03-25,246.2,,,,,,,,,,,,,,
2015-03-26,248.53,,,,,,,,,,,,,,
2015-03-27,247.03,,,,,,,,,,,,,,
2015-03-28,252.8,,,,,,,,,,,,,,
2015-03-29,242.71,,,,,,,,,,,,,,
2015-03-30,247.53,,,,,,,,,,,,,,
2015-03-31,244.22,,,,,,,,,,,,,,
2015-04-01,247.27,,,,,,,,,,,,,,
2015-04-02,253.01,,,,,,,,,,,,,,
2015-04-03,254.32,,,,,,,,,,,,,,
2015-04-04,253.7,,,,,,,,,,,,,,
2015-04-05,260.6,,,,,,,,,,,,,,
2015-04-06,255.49,,,,,,,,,,,,,,
2015-04-07,253.18,,,,,,,,,,,,,,
2015-04-08,245.02,,,,,,,,,,,,,,
2015-04-09,243.68,,,,,,,,,,,,,,
2015-04-10,236.07,,,,,,,,,,,,,,
2015-04-11,236.55,,,,,,,,,,,,,,
2015-04-12,236.15,,,,,,,,,,,,,,
2015-04-13,224.59,,,,,,,,,,,,,,
2015-04-14,219.16,,,,,,,,,,,,,,
2015-04-15,223.83,,,,,,,,,,,,,,
2015-04-16,228.57,,,,,,,,,,,,,,
2015-04-17,222.88,,,,,,,,,,,,,,
2015-04-18,223.36,,,,,,,,,,,,,,
2015-04-19,222.6,,,,,,,,,,,,,,
2015-04-20,224.63,,,,,,,,,,,,,,
2015-04-21,235.27,,,,,,,,,,,,,,
2015-04-22,234.18,,,,,,,,,,,,,,
2015-04-23,236.46,,,,,,,,,,,,,,
2015-04-24,231.27,,,,,,,,,,,,,,
2015-04-25,226.39,,,,,,,,,,,,,,
2015-04-26,219.43,,,,,,,,,,,,,,
2015-04-27,229.29,,,,,,,,,,,,,,
2015-04-28,225.85,,,,,,,,,,,,,,
2015-04-29,225.81,,,,,,,,,,,,,,
2015-04-30,236.15,,,,,,,,,,,,,,
2015-05-01,232.08,,,,,,,,,,,,,,
2015-05-02,234.93,,,,,,,,,,,,,,
2015-05-03,240.36,,,,,,,,,,,,,,
2015-05-04,239.02,,,,,,,,,,,,,,
2015-05-05,236.12,,,,,,,,,,,,,,
2015-05-06,229.78,,,,,,,,,,,,,,
2015-05-07,237.33,,,,,,,,,,,,,,
2015-05-08,243.86,,,,,,,,,,,,,,
2015-05-09,241.83,,,,,,,,,,,,,,
2015-05-10,240.3,,,,,,,,,,,,,,
2015-05-11,242.16,,,,,,,,,,,,,,
2015-05-12,241.11,,,,,,,,,,,,,,
2015-05-13,236.38,,,,,,,,,,,,,,
2015-05-14,236.93,,,,,,,,,,,,,,
2015-05-15,237.6,,,,,,,,,,,,,,
2015-05-16,236.15,,,,,,,,,,,,,,
2015-05-17,236.8,,,,,,,,,,,,,,
2015-05-18,233.13,,,,,,,,,,,,,,
2015-05-19,231.95,,,,,,,,,,,,,,
2015-05-20,234.02,,,,,,,,,,,,,,
2015-05-21,235.34,,,,,,,,,,,,,,
2015-05-22,240.35,,,,,,,,,,,,,,
2015-05-23,238.87,,,,,,,,,,,,,,
2015-05-24,240.95,,,,,,,,,,,,,,
2015-05-25,237.11,,,,,,,,,,,,,,
2015-05-26,237.12,,,,,,,,,,,,,,
2015-05-27,237.28,,,,,,,,,,,,,,
2015-05-28,237.41,,,,,,,,,,,,,,
2015-05-29,237.1,,,,,,,,,,,,,,
2015-05-30,233.35,,,,,,,,,,,,,,
