Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Stocks ^IXIC,156.77621437974148,509.3462718823549,281.2275842784453,347.8991042600266
Stocks ^RUT,149.5353266319891,558.0723239763593,281.36413712522983,371.02170213233944
Stocks ^DJI,157.9740942121408,572.9446627661943,267.29296177848397,376.2388108859977
Stocks ^GSPC,156.25278679549368,539.3356520873923,265.9332875250602,358.70990712448827
Stocks AAPL,158.54970939142714,502.46992878744976,310.4108262621441,353.0670006030573
Stocks FB,154.48533737302395,485.0368728547627,306.8589396155967,343.16609016334576
Stocks GOOG,157.06777697409598,493.0377773449652,295.1003661212896,343.9189645530698
Stocks GOOGL,151.38177570211906,485.69940118651397,294.4095666957824,339.36084202004577
Stocks IBM,143.66774087221984,588.6883067146541,311.416415143079,393.3507874024831
Stocks INTC,143.96344919289177,507.96341242362297,481.2056404718345,412.43632699948347
Stocks MSFT,135.37055515435645,495.01268906365715,337.74836121383834,354.70020441656783
Stocks NFLX,175.36409045848197,511.1257712510879,497.98388992727473,424.2601689555008
Stocks ORCL,148.23878989581192,500.89758674466617,260.9797944824396,337.13675976992954
Stocks TSLA,160.99709679243605,499.2788550058188,264.2100342315619,339.11963593013286
