Simulacion,RMSE (1),RMSE (2),RMSE (3),RMSE (General)
Neuronas_n512,160.50121232027502,493.1359680558459,327.31894309718587,354.06280641383063
Capas_c2_n512,120.92441687091298,772.7743617650567,654.4514805384576,588.8151009091451
Ventana extra grande_v90,364.6821906570093,612.5794499370552,354.99755020488726,459.807910370933
Criptos Close omisego,171.66653136573055,491.7798477357883,283.152890325818,342.2924558181406
Stocks ORCL,148.23878989581192,500.89758674466617,260.9797944824396,337.13675976992954
Trends trend_monero,171.56678283996786,480.2452471317473,260.69137804242337,330.67136402191807
CombinacionCriptos_n512,139.01965301786169,485.226408816895,309.2603683162105,341.7665417355466
CombinacionStocksIndex_n512,153.44298638220425,562.438947274255,287.6058327739752,375.32183279885425
CombinacionStocksEmpresas_n512,155.7446836116908,510.8042566207198,266.4068640201624,344.5528562510205
CombinacionTrends_n512,120.8768746874618,547.9549015943155,260.5395564384553,357.1865308605535
TodasVariables_n512,205.49832856660342,1125.9989417101167,399.7986005872571,699.9862143422301
